file,std_file,rand
maybridge-0544-940818971.png,UOB_0005711.png,-3.582358512610616
maybridge-0464-326335503.png,UOB_0004873.png,-3.5434642632341053
maybridge-0541-479751745.png,UOB_0005682.png,-3.334965219403657
maybridge-0308-1060717192.png,UOB_0003174.png,-3.3345696974470576
maybridge-0141-8503415.png,UOB_0001471.png,-3.326870107456545
maybridge-0335-843917583.png,UOB_0003484.png,-3.3201198286394886
maybridge-0315-964980290.png,UOB_0003254.png,-3.2775312829733116
maybridge-0406-69659251.png,UOB_0004236.png,-3.1403054305860527
maybridge-0188-484626924.png,UOB_0001930.png,-3.136547096243239
maybridge-0465-182751820.png,UOB_0004882.png,-3.122750510851575
maybridge-0132-889461930.png,UOB_0001404.png,-2.996761604762725
maybridge-0361-184330994.png,UOB_0003761.png,-2.9798256964435472
maybridge-0162-432361581.png,UOB_0001682.png,-2.9537555493190912
maybridge-0238-988558644.png,UOB_0002470.png,-2.864217329210248
maybridge-0360-708052980.png,UOB_0003754.png,-2.8633839194299675
maybridge-0327-993110564.png,UOB_0003393.png,-2.8387315239683675
maybridge-0274-515984327.png,UOB_0002823.png,-2.82484333788991
maybridge-0233-499938316.png,UOB_0002413.png,-2.8192684906359404
maybridge-0444-764720539.png,UOB_0004659.png,-2.812971362776619
maybridge-0228-1018381982.png,UOB_0002356.png,-2.807457106605723
maybridge-0383-545144477.png,UOB_0003988.png,-2.7829316220198774
maybridge-0272-290905515.png,UOB_0002798.png,-2.756578737123819
maybridge-0350-934784672.png,UOB_0003651.png,-2.7484468287318924
maybridge-0445-886045922.png,UOB_0004672.png,-2.7247356402400933
maybridge-0335-1007659449.png,UOB_0003477.png,-2.7223530087537102
maybridge-0192-74621171.png,UOB_0001973.png,-2.699605524525161
maybridge-0463-197395632.png,UOB_0004860.png,-2.6782854902335087
maybridge-0213-564878923.png,UOB_0002205.png,-2.6760267468055807
maybridge-0008-807557087.png,UOB_0000077.png,-2.6594494563834883
maybridge-0218-772707887.png,UOB_0002267.png,-2.629726554826244
maybridge-0536-235220949.png,UOB_0005628.png,-2.625473481435206
maybridge-0291-153978989.png,UOB_0003004.png,-2.6169269115258125
maybridge-0305-161739639.png,UOB_0003140.png,-2.604772809417362
maybridge-0379-370010940.png,UOB_0003945.png,-2.595178282448471
maybridge-0052-431977754.png,UOB_0000541.png,-2.519579296368879
maybridge-0058-210737919.png,UOB_0000606.png,-2.515439456144192
maybridge-0111-669649663.png,UOB_0001185.png,-2.5143787109977893
maybridge-0276-733947181.png,UOB_0002844.png,-2.513563609546703
maybridge-0022-353946344.png,UOB_0000237.png,-2.505458132074395
maybridge-0418-486085112.png,UOB_0004366.png,-2.457514015999564
maybridge-0388-258642166.png,UOB_0004042.png,-2.457329308547842
maybridge-0383-12915411.png,UOB_0003980.png,-2.4484779678638877
maybridge-0318-773996186.png,UOB_0003283.png,-2.4366527977315435
maybridge-0004-394368388.png,UOB_0000033.png,-2.434767576521044
maybridge-0188-250095510.png,UOB_0001927.png,-2.4311691905885793
maybridge-0067-941989862.png,UOB_0000714.png,-2.428253457866956
maybridge-0536-664876270.png,UOB_0005635.png,-2.427022577917268
maybridge-0308-85291145.png,UOB_0003181.png,-2.419165667432911
maybridge-0130-341129150.png,UOB_0001383.png,-2.4149686935396932
maybridge-0153-762299788.png,UOB_0001585.png,-2.4131383417363272
maybridge-0061-225405833.png,UOB_0000642.png,-2.404226052826724
maybridge-0266-858939326.png,UOB_0002741.png,-2.3988221653716177
maybridge-0299-834616506.png,UOB_0003089.png,-2.3932819707703072
maybridge-0378-654662568.png,UOB_0003938.png,-2.3752248543240557
maybridge-0023-870167930.png,UOB_0000255.png,-2.3744026840662538
maybridge-0221-1045531349.png,UOB_0002291.png,-2.3648992500779857
maybridge-0480-312164351.png,UOB_0005039.png,-2.3558189031696957
maybridge-0010-481945036.png,UOB_0000100.png,-2.343603190999962
maybridge-0525-611957031.png,UOB_0005523.png,-2.3405439036459352
maybridge-0330-5203650.png,UOB_0003425.png,-2.340306821689795
maybridge-0208-801782703.png,UOB_0002154.png,-2.333543400252436
maybridge-0329-589672821.png,UOB_0003414.png,-2.325703649275872
maybridge-0358-895151267.png,UOB_0003732.png,-2.3165969403308946
maybridge-0144-774585644.png,UOB_0001496.png,-2.311148322320079
maybridge-0204-922907568.png,UOB_0002106.png,-2.308139906196096
maybridge-0091-821825341.png,UOB_0000956.png,-2.3030328195053826
maybridge-0168-1012464461.png,UOB_0001728.png,-2.2994714701581507
maybridge-0354-304743111.png,UOB_0003678.png,-2.2727461953609986
maybridge-0454-146882282.png,UOB_0004752.png,-2.2683614960805594
maybridge-0397-756328691.png,UOB_0004147.png,-2.260486758249321
maybridge-0267-754108534.png,UOB_0002752.png,-2.260228710125803
maybridge-0112-560654361.png,UOB_0001194.png,-2.255939498457608
maybridge-0456-384320879.png,UOB_0004783.png,-2.254519075752881
maybridge-0087-910361984.png,UOB_0000918.png,-2.2526852817522354
maybridge-0226-717200069.png,UOB_0002340.png,-2.2360465313955507
maybridge-0263-448514201.png,UOB_0002710.png,-2.2292814850066076
maybridge-0225-508214306.png,UOB_0002331.png,-2.2284260374989913
maybridge-0046-626039269.png,UOB_0000478.png,-2.2273412922974627
maybridge-0480-997857498.png,UOB_0005048.png,-2.2252894576230124
maybridge-0444-1045838986.png,UOB_0004652.png,-2.2219582143170635
maybridge-0499-997739547.png,UOB_0005244.png,-2.2199822165941256
maybridge-0116-698607258.png,UOB_0001236.png,-2.2166683255468347
maybridge-0474-1052132486.png,UOB_0004970.png,-2.2134304292298483
maybridge-0509-888242265.png,UOB_0005354.png,-2.2053616219405474
maybridge-0472-932018230.png,UOB_0004955.png,-2.2052631943052394
maybridge-0130-834747884.png,UOB_0001388.png,-2.2000219885513803
maybridge-0076-686324904.png,UOB_0000803.png,-2.1929667027074733
maybridge-0130-801456829.png,UOB_0001387.png,-2.19190798280299
maybridge-0081-791370687.png,UOB_0000857.png,-2.184177564251296
maybridge-0428-465888986.png,UOB_0004482.png,-2.1793202210201432
maybridge-0499-618928080.png,UOB_0005241.png,-2.176695797159465
maybridge-0296-313496048.png,UOB_0003058.png,-2.1765149141903364
maybridge-0452-411330989.png,UOB_0004729.png,-2.1742703778683707
maybridge-0292-771774152.png,UOB_0003021.png,-2.1739115754817284
maybridge-0276-285481645.png,UOB_0002841.png,-2.1737373268444116
maybridge-0155-597502451.png,UOB_0001610.png,-2.169850303806109
maybridge-0059-751455540.png,UOB_0000621.png,-2.1686184989032724
maybridge-0515-635287815.png,UOB_0005420.png,-2.1647910637023373
maybridge-0525-924434208.png,UOB_0005525.png,-2.1595697268159686
maybridge-0263-773361529.png,UOB_0002714.png,-2.1559372436506816
maybridge-0489-729670557.png,UOB_0005128.png,-2.1533905495258683
maybridge-0385-956483029.png,UOB_0004014.png,-2.149235352048642
maybridge-0435-612494493.png,UOB_0004561.png,-2.1432698474187495
maybridge-0500-181408805.png,UOB_0005246.png,-2.1419634952320536
maybridge-0001-110883269.png,UOB_0000003.png,-2.136196095668454
maybridge-0210-944917038.png,UOB_0002178.png,-2.1316351033448617
maybridge-0067-107419032.png,UOB_0000705.png,-2.129869204804334
maybridge-0151-533019777.png,UOB_0001561.png,-2.120773336090958
maybridge-0501-539484297.png,UOB_0005264.png,-2.1155608951804203
maybridge-0068-575557946.png,UOB_0000723.png,-2.1035583425932294
maybridge-0426-565588829.png,UOB_0004458.png,-2.10112524042058
maybridge-0300-865407956.png,UOB_0003098.png,-2.1010431655752217
maybridge-0290-274608720.png,UOB_0002993.png,-2.100191692044622
maybridge-0296-459523932.png,UOB_0003059.png,-2.088710784322033
maybridge-0043-1047359313.png,UOB_0000446.png,-2.0878074622887244
maybridge-0014-606624606.png,UOB_0000144.png,-2.0826519357449493
maybridge-0367-990857961.png,UOB_0003833.png,-2.0763208024388264
maybridge-0038-7388334.png,UOB_0000406.png,-2.0749223651627684
maybridge-0015-594693849.png,UOB_0000154.png,-2.0696122626654505
maybridge-0134-860252649.png,UOB_0001416.png,-2.066901899582242
maybridge-0298-435257593.png,UOB_0003072.png,-2.063066754307596
maybridge-0530-307614626.png,UOB_0005572.png,-2.061169434363266
maybridge-0051-249689960.png,UOB_0000528.png,-2.056265740737039
maybridge-0127-970378449.png,UOB_0001359.png,-2.0534471055257284
maybridge-0490-757987161.png,UOB_0005137.png,-2.0528178146979603
maybridge-0329-1003428538.png,UOB_0003406.png,-2.050408487992573
maybridge-0286-396184805.png,UOB_0002955.png,-2.047102510528661
maybridge-0072-494170596.png,UOB_0000761.png,-2.0458666795913363
maybridge-0420-598864547.png,UOB_0004387.png,-2.0429813355933524
maybridge-0007-659329728.png,UOB_0000065.png,-2.040323048728715
maybridge-0262-209566966.png,UOB_0002699.png,-2.037370096302168
maybridge-0093-45693789.png,UOB_0000973.png,-2.0344512297829684
maybridge-0008-973322273.png,UOB_0000080.png,-2.0334665461226136
maybridge-0338-123331910.png,UOB_0003509.png,-2.0304846936650414
maybridge-0360-65963835.png,UOB_0003751.png,-2.029718250901279
maybridge-0022-602054893.png,UOB_0000242.png,-2.025593591834587
